banos,dormitorios,garajes,gastos_comunes,m2_del_terreno,m2_edificados,price,vivienda_social,disposición_frente,estado_rec_exc,zona_cat_1,zona_cat_2,zona_cat_3
1.0,1.0,0.0,5000.0,45.0,45.0,150000.0,0.0,0,1,0,0,1
3.0,3.0,1.0,0.0,155.0,125.0,329000.0,0.0,0,1,0,0,1
3.0,4.0,2.0,16000.0,150.0,150.0,650000.0,0.0,1,1,0,0,1
1.0,1.0,1.0,6000.0,59.0,59.0,273000.0,0.0,0,1,0,0,1
1.0,1.0,0.0,0.0,35.0,35.0,160000.0,0.0,0,0,0,0,1
1.0,2.0,0.0,0.0,55.0,55.0,64000.0,0.0,1,0,0,1,0
1.0,1.0,1.0,2500.0,52.0,52.0,130000.0,1.0,1,0,0,1,0
2.0,2.0,1.0,0.0,599.0,140.0,198000.0,0.0,1,0,1,0,0
3.0,3.0,1.0,6000.0,166.0,166.0,198000.0,0.0,0,0,0,1,0
3.0,4.0,2.0,0.0,500.0,278.0,495000.0,0.0,1,1,0,0,1
2.0,4.0,2.0,0.0,500.0,240.0,375000.0,0.0,1,1,0,1,0
3.0,3.0,2.0,25000.0,200.0,200.0,620000.0,0.0,1,1,0,0,1
2.0,4.0,2.0,0.0,300.0,190.0,280000.0,0.0,1,0,0,1,0
1.0,1.0,0.0,1500.0,36.0,36.0,85000.0,0.0,0,0,0,1,0
2.0,2.0,1.0,5000.0,72.0,72.0,270000.0,0.0,1,0,0,0,1
1.0,0.0,0.0,4400.0,34.0,34.0,110000.0,0.0,1,0,0,0,1
2.0,3.0,0.0,3000.0,63.0,63.0,190000.0,0.0,0,1,0,0,1
3.0,5.0,2.0,0.0,370.0,335.0,422000.0,0.0,1,0,0,0,1
1.0,1.0,1.0,2800.0,40.0,40.0,140000.0,0.0,1,0,0,1,0
1.0,2.0,0.0,800.0,55.0,55.0,140000.0,1.0,0,0,0,1,0
2.0,2.0,1.0,1.0,93.0,93.0,233130.0,0.0,1,0,0,0,1
1.0,2.0,0.0,0.0,50.0,50.0,95000.0,0.0,0,0,0,1,0
2.0,2.0,0.0,14000.0,88.0,88.0,285000.0,0.0,1,1,0,0,1
1.0,5.0,0.0,0.0,180.0,153.0,140000.0,0.0,1,0,0,1,0
2.0,2.0,1.0,3500.0,90.0,90.0,220000.0,0.0,1,0,0,0,1
2.0,2.0,2.0,0.0,100.0,89.0,128000.0,0.0,1,0,0,1,0
2.0,2.0,1.0,0.0,70.0,64.0,180000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,0.0,43.0,43.0,144900.0,0.0,1,0,0,1,0
1.0,1.0,0.0,0.0,30.0,30.0,26000.0,0.0,0,0,1,0,0
1.0,2.0,1.0,8010.0,61.0,61.0,195000.0,0.0,0,0,0,0,1
2.0,2.0,1.0,0.0,131.0,119.0,404200.0,0.0,1,0,0,0,1
2.0,4.0,3.0,0.0,288.0,238.0,380000.0,0.0,1,1,0,1,0
1.0,1.0,0.0,0.0,15.0,34.0,99000.0,0.0,0,0,0,0,1
2.0,2.0,0.0,0.0,80.0,80.0,290000.0,0.0,1,0,0,0,1
2.0,2.0,1.0,12000.0,70.0,70.0,285000.0,0.0,1,1,0,0,1
2.0,2.0,1.0,1.0,96.0,96.0,235000.0,0.0,1,0,0,0,1
2.0,2.0,0.0,0.0,76.0,76.0,105000.0,0.0,1,0,0,1,0
2.0,2.0,2.0,6500.0,86.0,86.0,260000.0,0.0,1,1,0,0,1
1.0,1.0,0.0,2600.0,55.0,55.0,74000.0,0.0,1,1,0,1,0
1.0,1.0,0.0,1200.0,40.0,40.0,86000.0,0.0,1,0,0,1,0
2.0,3.0,2.0,0.0,747.0,140.0,380000.0,0.0,0,0,0,0,1
1.0,2.0,1.0,1.0,93.0,93.0,168300.0,1.0,0,0,0,0,1
1.0,1.0,0.0,0.0,38.0,38.0,105900.0,0.0,0,0,0,1,0
1.0,1.0,1.0,3000.0,42.0,42.0,200000.0,0.0,0,0,0,0,1
3.0,4.0,2.0,0.0,252.0,164.0,165000.0,0.0,1,0,0,1,0
3.0,3.0,1.0,25350.0,116.0,116.0,500000.0,0.0,1,0,0,0,1
1.0,2.0,1.0,0.0,133.0,118.0,120000.0,0.0,1,0,0,1,0
3.0,3.0,1.0,13500.0,144.0,144.0,248000.0,0.0,1,1,0,1,0
