ano_de_construccion,banos,disposicion,dormitorios,estado,garajes,gastos_comunes,m2_de_la_terraza,m2_del_terreno,m2_edificados,price,tipo_propiedad,vivienda_social,zona
1991.0,1.0,contrafrente,1.0,excelente estado,0.0,5000.0,0.0,45.0,45.0,150000.0,apartamentos,0.0,punta carretas
2007.0,3.0,,3.0,excelente estado,1.0,0.0,0.0,155.0,125.0,329000.0,casas,0.0,pocitos nuevo
2012.0,3.0,al frente,4.0,excelente estado,2.0,16000.0,0.0,150.0,150.0,650000.0,apartamentos,0.0,punta carretas
2015.0,1.0,lateral,1.0,excelente estado,1.0,6000.0,0.0,59.0,59.0,273000.0,apartamentos,0.0,buceo
2019.0,1.0,,1.0,buen estado,0.0,0.0,0.0,35.0,35.0,160000.0,apartamentos,0.0,pocitos
1999.0,1.0,al frente,2.0,buen estado,0.0,0.0,0.0,55.0,55.0,64000.0,apartamentos,0.0,parque batlle
2019.0,1.0,al frente,1.0,a estrenar,1.0,2500.0,4.0,52.0,52.0,130000.0,apartamentos,1.0,la blanqueada
1960.0,2.0,al frente,2.0,buen estado,1.0,0.0,0.0,599.0,140.0,198000.0,casas,0.0,malvin norte
1972.0,3.0,,3.0,buen estado,1.0,6000.0,0.0,166.0,166.0,198000.0,apartamentos,0.0,centro
2014.0,3.0,al frente,4.0,excelente estado,2.0,0.0,10.0,500.0,278.0,495000.0,casas,0.0,parque miramar
2006.0,2.0,al frente,4.0,excelente estado,2.0,0.0,40.0,500.0,240.0,375000.0,casas,0.0,prado
1996.0,3.0,al frente,3.0,excelente estado,2.0,25000.0,10.0,200.0,200.0,620000.0,apartamentos,0.0,punta carretas
1970.0,2.0,al frente,4.0,buen estado,2.0,0.0,0.0,300.0,190.0,280000.0,casas,0.0,prado
1958.0,1.0,interior,1.0,a reciclar,0.0,1500.0,0.0,36.0,36.0,85000.0,apartamentos,0.0,parque batlle
